Area,Consumption Segment,Country,"Sector, Category or Product",name,Value
National,Higher,Afghanistan,"Coffee, Tea and Cocoa",US$,0.066559263
National,Higher,Afghanistan,"Coffee, Tea and Cocoa",$PPP,0.146956172
National,Higher,Afghanistan,"Coffee, Tea and Cocoa",Local Currency,3.091810892
National,Middle,Afghanistan,"Coffee, Tea and Cocoa",US$,7.231678051
National,Middle,Afghanistan,"Coffee, Tea and Cocoa",$PPP,15.96681918
National,Middle,Afghanistan,"Coffee, Tea and Cocoa",Local Currency,335.9259088
National,Lowest,Afghanistan,"Coffee, Tea and Cocoa",US$,128.539412
National,Lowest,Afghanistan,"Coffee, Tea and Cocoa",$PPP,283.8021183
National,Lowest,Afghanistan,"Coffee, Tea and Cocoa",Local Currency,5970.912766
National,Low,Afghanistan,"Coffee, Tea and Cocoa",US$,142.0471396
National,Low,Afghanistan,"Coffee, Tea and Cocoa",$PPP,313.6258248
National,Low,Afghanistan,"Coffee, Tea and Cocoa",Local Currency,6598.373728
National,All,Afghanistan,"Coffee, Tea and Cocoa",US$,277.8847888
National,All,Afghanistan,"Coffee, Tea and Cocoa",$PPP,613.5417183
National,All,Afghanistan,"Coffee, Tea and Cocoa",Local Currency,12908.30421
Rural,Higher,Afghanistan,"Coffee, Tea and Cocoa",US$,0
Rural,Higher,Afghanistan,"Coffee, Tea and Cocoa",$PPP,0
Rural,Higher,Afghanistan,"Coffee, Tea and Cocoa",Local Currency,0
Rural,Middle,Afghanistan,"Coffee, Tea and Cocoa",US$,0.997447533
Rural,Middle,Afghanistan,"Coffee, Tea and Cocoa",$PPP,2.202264024
Rural,Middle,Afghanistan,"Coffee, Tea and Cocoa",Local Currency,46.3334328
Rural,Lowest,Afghanistan,"Coffee, Tea and Cocoa",US$,120.1105917
Rural,Lowest,Afghanistan,"Coffee, Tea and Cocoa",$PPP,265.1921292
Rural,Lowest,Afghanistan,"Coffee, Tea and Cocoa",Local Currency,5579.377207
Rural,Low,Afghanistan,"Coffee, Tea and Cocoa",US$,100.229186
Rural,Low,Afghanistan,"Coffee, Tea and Cocoa",$PPP,221.2959813
