Country or Area,Year,Sex,Coverage,Source,SourceID,Type,Value,Value Footnotes,,,Mean,
Afghanistan,2005,Total men and women,Total coverage,Labour force survey,# 0,Unemployed,363.8,1,,,6.335,7.080521133
Afghanistan,2005,Men,Total coverage,Labour force survey,# 0,Unemployed,172.7,1,,,4.430645,
Afghanistan,2005,Women,Total coverage,Labour force survey,# 0,Unemployed,191.1,1,,,9.59332,
Afghanistan,2005,"Rates, total",Total coverage,Labour force survey,# 0,Unemployed,8.5,1,,,6.285714,
Afghanistan,2005,"Rates, men",Total coverage,Labour force survey,# 0,Unemployed,7.6,1,,,6.702041,
Afghanistan,2005,"Rates, women",Total coverage,Labour force survey,# 0,Unemployed,9.5,1,,,7.01,
Albania,2006,Total men and women,Registered unemployment,Employment office records,# 0,Unemployed,149.794,"1,2",,,9.643902,
Albania,2006,Men,Registered unemployment,Employment office records,# 0,Unemployed,77,"1,2",,,6.953673,
Albania,2006,Women,Registered unemployment,Employment office records,# 0,Unemployed,73,"1,2",,,8.617857,
Albania,2006,"Rates, total",Registered unemployment,Employment office records,# 0,Unemployed,13.8,"1,2",,,2.230189,
Albania,2006,"Rates, men",Registered unemployment,Employment office records,# 0,Unemployed,11.8,"1,2",,,2.8675,
Albania,2006,"Rates, women",Registered unemployment,Employment office records,# 0,Unemployed,16.8,"1,2",,,2.25,
Albania,2005,Total men and women,Registered unemployment,Employment office records,# 0,Unemployed,153.25,"1,2",,,3.382403,
Albania,2005,Men,Registered unemployment,Employment office records,# 0,Unemployed,79,"1,2",,,5.786765,
Albania,2005,Women,Registered unemployment,Employment office records,# 0,Unemployed,74,"1,2",,,2.931169,
Albania,2005,"Rates, total",Registered unemployment,Employment office records,# 0,Unemployed,14.1,"1,2",,,14.34,
Albania,2005,"Rates, men",Registered unemployment,Employment office records,# 0,Unemployed,12.1,"1,2",,,6.288889,
Albania,2005,"Rates, women",Registered unemployment,Employment office records,# 0,Unemployed,17.2,"1,2",,,4.233333,
Albania,2004,Total men and women,Registered unemployment,Employment office records,# 0,Unemployed,157.008,"1,2",,,12.62351,
Albania,2004,Men,Registered unemployment,Employment office records,# 0,Unemployed,82,"1,2",,,3.83625,
Albania,2004,Women,Registered unemployment,Employment office records,# 0,Unemployed,75.008,"1,2",,,6.01,
Albania,2004,"Rates, total",Registered unemployment,Employment office records,# 0,Unemployed,14.4,"1,2",,,5.782143,
Albania,2004,"Rates, men",Registered unemployment,Employment office records,# 0,Unemployed,12.4,"1,2",,,8.864706,
Albania,2004,"Rates, women",Registered unemployment,Employment office records,# 0,Unemployed,17.5,"1,2",,,6.084848,
Albania,2003,Total men and women,Registered unemployment,Employment office records,# 0,Unemployed,163.03,"1,2",,,6.650004,
Albania,2003,Men,Registered unemployment,Employment office records,# 0,Unemployed,86,"1,2",,,8.5045,
Albania,2003,Women,Registered unemployment,Employment office records,# 0,Unemployed,77.03,"1,2",,,19.76231,
Albania,2003,"Rates, total",Registered unemployment,Employment office records,# 0,Unemployed,15,"1,2",,,9.213793,
