"","LOCATION","Value","gov_right1","nld","sstran","effpar_ele","debt_hist","internetTValue","internetTLOCATION","internetTTIME","workhourTValue","workhourTLOCATION","workhourTTIME","adulteducationTValue","adulteducationTLOCATION","adulteducationTTIME","teachinghoursTValue","teachinghoursTLOCATION","teachinghoursTTIME"
"1","AUS1960",13.1,100,1145,5.5,2.973526692,40.15,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"2","AUS1961",14.5,100,815,6.1,2.814221952,38.62,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"3","AUS1962",16.9,100,1183,6,2.814221952,38.75,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"4","AUS1963",19.2,100,1250,5.9,2.792804618,37.34,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"5","AUS1964",17.8,100,1334,5.7,2.792804618,35.31,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"6","AUS1965",18,100,1346,5.8,2.792804618,53.99,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"7","AUS1966",17.4,100,1273,5.7,2.978548494,52.51,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"8","AUS1967",18.4,100,1340,5.6,2.978548494,49.96,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"9","AUS1968",15.6,100,1713,5.1,2.978548494,48.69,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"10","AUS1969",14.9,100,2014,5.4,2.83286119,45.5,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"11","AUS1970",15,100,2738,3.47,2.83286119,43.21,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"12","AUS1971",16.3,100,2404,3.67,2.83286119,39.89,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"13","AUS1972",15,96.45,2298,4.15,2.772871336,37.85,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"14","AUS1973",13.8,0,2538,4.17,2.772871336,33.78,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"15","AUS1974",14.1,0,2809,5.03,2.663974277,29.31,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"16","AUS1975",13,13.7,2432,5.77,2.697766519,29.19,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"17","AUS1976",12.6,100,2055,6.59,2.697766519,28.42,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"18","AUS1977",12.9,100,2090,7.04,3.117080667,27.4,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"19","AUS1978",12.7,100,2277,6.75,3.117080667,28.55,0,"0",0,0,"0",0,0,"0",0,0,"0",0
"20","AUS1979",13,100,2042,6.45,3.117080667,29.19,0,"0",0,1834,"AUS",1979,0,"0",0,0,"0",0
"21","AUS1980",12.3,100,2429,6.36,2.812512305,27.15,0,"0",0,1836,"AUS",1980,0,"0",0,0,"0",0
"22","AUS1981",12.5,100,2915,6.35,2.812512305,24.09,0,"0",0,1820,"AUS",1981,0,"0",0,0,"0",0
"23","AUS1982",12.9,100,2060,7.23,2.812512305,22.18,0,"0",0,1802,"AUS",1982,0,"0",0,0,"0",0
"24","AUS1983",12.1,18.9,1787,7.43,2.671475322,24.09,0,"0",0,1791,"AUS",1983,0,"0",0,0,"0",0
"25","AUS1984",12.2,0,1965,7.26,2.792414685,26,0,"0",0,1802,"AUS",1984,0,"0",0,0,"0",0
"26","AUS1985",12.6,0,1895,7.03,2.792414685,28.04,0,"0",0,1792,"AUS",1985,0,"0",0,0,"0",0
"27","AUS1986",13.6,0,1754,6.87,2.792414685,29.82,0,"0",0,1799,"AUS",1986,0,"0",0,0,"0",0
"28","AUS1987",14.2,0,1517,6.66,2.904966912,28.17,0,"0",0,1797,"AUS",1987,0,"0",0,0,"0",0
"29","AUS1988",13.8,0,1508,6.16,2.904966912,31.61,0,"0",0,1803,"AUS",1988,0,"0",0,0,"0",0
"30","AUS1989",12.9,0,1402,6.16,2.904966912,25.04,0,"0",0,1805,"AUS",1989,30.581482,"AUS",1989,0,"0",0
"31","AUS1990",13.4,0,1193,7.01,3.360655462,24.94,0,"0",0,1780,"AUS",1990,0,"0",0,0,"0",0
"32","AUS1991",13.7,0,1036,7.95,3.360655462,30.9,0,"0",0,1775,"AUS",1991,31.15881,"AUS",1991,0,"0",0
"33","AUS1992",13.3,0,728,8.22,3.360655462,35.04,0,"0",0,1774,"AUS",1992,0,"0",0,0,"0",0
"34","AUS1993",11.9,0,610,8.45,2.891259722,40.61,0,"0",0,1787,"AUS",1993,22.469191,"AUS",1993,0,"0",0
"35","AUS1994",13.1,0,560,8.2,2.891259722,40.41,0,"0",0,1798,"AUS",1994,23.072365,"AUS",1994,0,"0",0
"36","AUS1995",12.2,0,643,8.24,2.891259722,41.86,0,"0",0,1794,"AUS",1995,24.315445,"AUS",1995,0,"0",0
"37","AUS1996",13.5,80.87,543,8.24,3.208614488,39.45,0,"0",0,1783,"AUS",1996,0,"0",0,0,"0",0
"38","AUS1997",14.5,100,447,7.86,3.208614488,37.04,0,"0",0,1784,"AUS",1997,24.30127,"AUS",1997,0,"0",0
"39","AUS1998",14.1,100,520,7.82,3.436308031,33.61,0,"0",0,1768,"AUS",1998,25.420708,"AUS",1998,0,"0",0
"40","AUS1999",13.3,100,731,7.95,3.436308031,27.19,0,"0",0,1779,"AUS",1999,26.693399,"AUS",1999,0,"0",0
"41","AUS2000",12.6,100,700,8.45,3.436308031,25.14,0,"0",0,1779,"AUS",2000,27.475746,"AUS",2000,882.35232072,"AUS",2000
"42","AUS2001",12.8,100,675,8.29,3.411094927,24.22,0,"0",0,1737,"AUS",2001,28.977322,"AUS",2001,0,"0",0
"43","AUS2002",11.9,100,767,8.03,3.411094927,22.87,0,"0",0,1732,"AUS",2002,30.759785,"AUS",2002,0,"0",0
"44","AUS2003",10.9,100,643,8.42,3.411094927,20.37,0,"0",0,1736,"AUS",2003,31.314152,"AUS",2003,0,"0",0
"45","AUS2004",10.6,100,692,8.12,3.159507749,20.79,0,"0",0,1734,"AUS",2004,30.82308,"AUS",2004,0,"0",0
"46","AUS2006",10.5,100,202,7.54,3.159507749,19.66,64,"AUS",2006,1721,"AUS",2006,33.022213,"AUS",2006,884.33203621,"AUS",2006
"47","AUS2007",10.6,92.05,135,7.4,3.013673035,19.51,67,"AUS",2007,1712,"AUS",2007,33.73671,"AUS",2007,876.93201525,"AUS",2007
"48","AUS2008",10.9,0,177,8.94,3.013673035,20.48,72,"AUS",2008,1717,"AUS",2008,36.149986,"AUS",2008,872.55573246,"AUS",2008
"49","AUS2009",10.7,0,0,7.7,3.013673035,26.4,0,"0",0,1690,"AUS",2009,36.881355,"AUS",2009,874.37937257,"AUS",2009
"50","AUS2010",10.9,0,0,7.55,3.311795622,29.41,78.92,"AUS",2010,1692,"AUS",2010,37.604309,"AUS",2010,868.15076318,"AUS",2010
"51","AUS2011",10.7,0,0,7.61,3.311795622,33.96,0,"0",0,1698,"AUS",2011,38.342072,"AUS",2011,872.54543042,"AUS",2011
"52","AUS2012",11.4,0,0,7.71,3.311795622,37.27,83,"AUS",2012,1689,"AUS",2012,41.282364,"AUS",2012,871.28203606,"AUS",2012
"53","AUS2013",11.2,28.77,215,7.92,3.605968599,38.2,0,"0",0,1685,"AUS",2013,39.539928,"AUS",2013,879.20710486,"AUS",2013
"54","AUS2014",12.2,100,0,8,3.605968599,42.19,85.89,"AUS",2014,1681,"AUS",2014,41.901855,"AUS",2014,871.9631958,"AUS",2014
"55","AUT1960",24.2,0,0,12.9,2.480860164,20.26,0,"0",0,0,"0",0,0,"0",0,0,"0",0
